标题,时间,内容
•  AI server vendor market share worldwide 2020 | Statista,"
                                                                            Apr 9, 2021
                                                                    ",
•  Global AI startup funding 2012-2020 | Statista,"
                                                                            Aug 9, 2021
                                                                    ",
•  Global AI deal share by region 2021 | Statista,"
                                                                            Jul 30, 2021
                                                                    ",
•  AI startup funding deals worldwide 2014-2021 | Statista,"
                                                                            Jul 30, 2021
                                                                    ",
•  Global AI healthcare startup funding 2020 | Statista,"
                                                                            May 10, 2021
                                                                    ",
•  Ethical AI policy implementation by industry 2021 | Statista,"
                                                                            Dec 6, 2021
                                                                    ",
•  Type/size of unstructured data developers use 2021 | Statista,"
                                                                            Aug 24, 2021
                                                                    ",
•  Time stage distribution of AI deals worldwide 2021 | Statista,"
                                                                            Dec 8, 2021
                                                                    ",
"•  Number of AI exits worldwide 2021, by type | Statista","
                                                                            Dec 8, 2021
                                                                    ",
•  Number of AI unicorns worldwide Q2 2019-Q2 2021 | Statista,"
                                                                            Dec 8, 2021
                                                                    ",
•  Outcomes of AI-enabled marketing worldwide 2020 | Statista,"
                                                                            Apr 20, 2021
                                                                    ",
•  AI capabilities deployed in standard business processes 2020 | Statista,"
                                                                            Apr 22, 2021
                                                                    ",
•  AI adoption in global companies: revenue increases 2019 | Statista,"
                                                                            Dec 10, 2020
                                                                    ",
"    • Artificial Intelligence in Scandinavia | Statista
",,
•  Global impact of artificial intelligence on GDP by region 2030 | Statista,"
                                                                            Jul 1, 2019
                                                                    ",
"    • AI use in marketing | Statista
",,
•  Global AI hiring index by country 2020 | Statista,"
                                                                            Apr 6, 2021
                                                                    ",
•  AI job postings by country 2020 | Statista,"
                                                                            Apr 6, 2021
                                                                    ",
•  AI adoption in financial services sector 2021 | Statista,"
                                                                            Aug 10, 2021
                                                                    ",
•  COVID-19 change in AI investments of financial services | Statista,"
                                                                            Jun 28, 2021
                                                                    ",
•  AI ethical concerns in financial services 2021 | Statista,"
                                                                            Aug 10, 2021
                                                                    ",
•  Benefits of AI adoption in financial services 2021 | Statista,"
                                                                            Aug 10, 2021
                                                                    ",
•  AI adoption pace in financial services 2021 | Statista,"
                                                                            Aug 10, 2021
                                                                    ",
•  Global AI journal publications by region 2020 | Statista,"
                                                                            Apr 6, 2021
                                                                    ",
•  Types of data AI/ML/DS developers work with 2021 | Statista,"
                                                                            Aug 24, 2021
                                                                    ",
•  Importance of AI in financial services 2020 | Statista,"
                                                                            Aug 10, 2021
                                                                    ",
•  Global AI conference publications by region 2020 | Statista,"
                                                                            Apr 6, 2021
                                                                    ",
•  Global AI patent publications by region 2020 | Statista,"
                                                                            Apr 6, 2021
                                                                    ",
•  AI challenges in financial services 2020 | Statista,"
                                                                            Aug 10, 2021
                                                                    ",
•  Financial services: revenue impact of AI 2020 | Statista,"
                                                                            Aug 10, 2021
                                                                    ",
•  Global military AI market revenue by service 2024 | Statista,"
                                                                            May 27, 2021
                                                                    ",
•  Automotive AI global market size | Statista,"
                                                                            Nov 17, 2021
                                                                    ",
•  Global spending on automation and AI business operations 2016-2023 | Statista,"
                                                                            May 3, 2021
                                                                    ",
•  AI adoption in global companies: cost decreases 2019 | Statista,"
                                                                            Dec 10, 2020
                                                                    ",
•  Top 20 AI-ready governments worldwide 2020 | Statista,"
                                                                            Apr 27, 2021
                                                                    ",
•  Leading owners of machine learning & AI patents 2011-2020 | Statista,"
                                                                            Aug 24, 2021
                                                                    ",
•  Global AI energy market CAGR 2019-2024 | Statista,"
                                                                            Jan 29, 2021
                                                                    ",
•  Top 10 most valuable private AI companies 2020 | Statista,"
                                                                            Aug 25, 2021
                                                                    ",
•  COVID impact on AI investment levels 2020 | Statista,"
                                                                            Jan 7, 2021
                                                                    ",
•  Largest AI-powered company exits  | Statista,"
                                                                            Dec 8, 2021
                                                                    ",
•  Share of countries adopting AI surveillance by region worldwide 2019 | Statista,"
                                                                            Apr 16, 2020
                                                                    ",
•  Retail investor interest in AI funds worldwide | Statista,"
                                                                            May 4, 2021
                                                                    ",
•  Global AI energy market shares 2019 | Statista,"
                                                                            Jan 29, 2021
                                                                    ",
•  Global AI healthcare deals 2015-2020 | Statista,"
                                                                            Dec 3, 2020
                                                                    ",
•  Investor interest in AI funds worldwide  | Statista,"
                                                                            May 4, 2021
                                                                    ",
•  Change in AI investment due to COVID-19 by industry | Statista,"
                                                                            Jul 27, 2021
                                                                    ",
•  Popularity of AI in marketing worldwide 2020 | Statista,"
                                                                            Jun 29, 2021
                                                                    ",
"    • AI in China | Statista
",,
•  Top enterprise AI use cases 2020 | Statista,"
                                                                            Aug 27, 2021
                                                                    ",
•  Global artificial intelligence (AI) revenue by segment 2015-2025 | Statista,"
                                                                            Jul 11, 2018
                                                                    ",
•  Leading AI use case in global enterprises 2020 | Statista,"
                                                                            Sep 17, 2020
                                                                    ",
•  AI jobs in top 12 GDP countries 2019 | Statista,"
                                                                            Mar 16, 2021
                                                                    ",
•  Home countries/regions of top-tier AI researchers | Statista,"
                                                                            Aug 25, 2021
                                                                    ",
•  Business drivers for AI enterprise adoption 2020 | Statista,"
                                                                            Aug 27, 2021
                                                                    ",
•  Country of origin of top-tier U.S. AI researchers | Statista,"
                                                                            Aug 25, 2021
                                                                    ",
•  Locations of top-tier AI researchers 2019 | Statista,"
                                                                            Aug 25, 2021
                                                                    ",
•  Global artificial intelligence (AI) market revenue 2015-2024 | Statista,"
                                                                            Feb 26, 2019
                                                                    ",
•  Global artificial intelligence and process automation spending 2021 | Statista,"
                                                                            Mar 12, 2019
                                                                    ",
•  Global artificial intelligence (AI) revenue share by end market 2015 | Statista,"
                                                                            Oct 19, 2016
                                                                    ",
•  Global change in business processes from AI 2020 | Statista,"
                                                                            Dec 8, 2021
                                                                    ",
•  Reasons for adopting AI in global organizations 2020 | Statista,"
                                                                            Dec 8, 2021
                                                                    ",
•  AI used in investment banking worldwide 2020 | Statista,"
                                                                            Sep 15, 2021
                                                                    ",
•  Integration modes of humans and AI worldwide 2020 | Statista,"
                                                                            Dec 8, 2021
                                                                    ",
•  Maturity of AI implementation by sector worldwide 2020 | Statista,"
                                                                            Aug 25, 2021
                                                                    ",
•  Global leading industrial AI use cases by market share 2018 | Statista,"
                                                                            Apr 30, 2021
                                                                    ",
•  HPC AI revenue 2018-2024 | Statista,"
                                                                            Apr 12, 2021
                                                                    ",
•  Financial services: benefits from AI adoption 2020 | Statista,"
                                                                            Jun 28, 2021
                                                                    ",
•  AI software platforms global vendor share 2019 | Statista,"
                                                                            Dec 3, 2021
                                                                    ",
•  AI software platforms revenue by vendor 2019 | Statista,"
                                                                            Dec 3, 2021
                                                                    ",
"•  Automation, AI, and smart analytics by industry 2020 | Statista","
                                                                            Nov 19, 2021
                                                                    ",
•  Global business and HR leaders on AI impact to job numbers 2020 | Statista,"
                                                                            May 17, 2021
                                                                    ",
•  Financial services: barriers to AI adoption 2020 | Statista,"
                                                                            Jun 28, 2021
                                                                    ",
•  Global AI business strategy 2020 | Statista,"
                                                                            Dec 8, 2021
                                                                    ",
"•  Automation, AI, and smart analytics by region 2020 | Statista","
                                                                            Nov 19, 2021
                                                                    ",
•  Global enterprise AI market revenue 2016-2025 | Statista,"
                                                                            Sep 12, 2016
                                                                    ",
•  Healthcare AI market size 2025 global forecast | Statista,"
                                                                            Oct 22, 2020
                                                                    ",
•  AI software platforms global revenue 2019 | Statista,"
                                                                            Dec 3, 2021
                                                                    ",
•  Total hyperscaler AI/ML services 2021 | Statista,"
                                                                            Oct 14, 2021
                                                                    ",
•  Global AI chip market revenues 2030 | Statista,"
                                                                            Nov 17, 2021
                                                                    ",
AI chips - statistics & facts | Statista,"Sep 29, 2021","
        Semiconductor chips are crucial in our digital lives. Fitted with billions of electronic transistors that constitute elaborate "
•  Trust in artificial intelligence by country 2018 | Statista,"
                                                                            Oct 19, 2021
                                                                    ",
•  Artificial intelligence (AI) chip market revenue worldwide 2017-2027 | Statista,"
                                                                            Oct 19, 2021
                                                                    ",
•  Artificial intelligence enabled revenue worldwide 2016-2025 | Statista,"
                                                                            Mar 26, 2019
                                                                    ",
•  Email marketing: artificial intelligence impact worldwide | Statista,"
                                                                            May 3, 2021
                                                                    ",
•  Artificial intelligence direct revenue worldwide 2014-2025 | Statista,"
                                                                            Feb 19, 2019
                                                                    ",
•  Artificial intelligence in health organizations opportunities U.S. 2017 | Statista,"
                                                                            Dec 2, 2020
                                                                    ",
"    • Artificial intelligence and public services 2018 | Statista
",,
•  Global AI software market revenue by region 2018-2025 | Statista,"
                                                                            Sep 24, 2020
                                                                    ",
•  Forecast of cumulative revenue of top 10 AI use cases 2016-2025 | Statista,"
                                                                            Nov 25, 2019
                                                                    ",
•  Healthcare AI market by application share 2016 | Statista,"
                                                                            Oct 22, 2020
                                                                    ",
•  Global business value derived from AI 2017-2022 | Statista,"
                                                                            Sep 5, 2019
                                                                    ",
•  Impact of AI as a percentage of industry revenues 2018 | Statista,"
                                                                            Jul 21, 2020
                                                                    ",
•  Economic impact of AI worldwide by industry 2018 | Statista,"
                                                                            Jul 21, 2020
                                                                    ",
•  Healthcare AI market size by application 2016 | Statista,"
                                                                            Oct 22, 2020
                                                                    ",
•  Artificial Intelligence in healthcare top areas of impact EU | Statista,"
                                                                            Dec 18, 2020
                                                                    ",
•  AI/Robotics market forecast 2018-2035 | Statista,"
                                                                            Dec 16, 2015
                                                                    ",
•  BAE Cyber and Intelligence sales 2012-2020 | Statista,"
                                                                            Aug 5, 2021
                                                                    ",
"    • In-depth Report: Industry 4.0 2021 | Statista
",,
•  Global recruiting trends: importance of artificial intelligence by country 2017 | Statista,"
                                                                            Nov 4, 2020
                                                                    ",
•  Law firms: effects of artificial intelligence 2017 | Statista,"
                                                                            Nov 4, 2020
                                                                    ",
•  Cognitive and AI system leading use cases by market share 2019 | Statista,"
                                                                            Oct 1, 2019
                                                                    ",
•  Global cognitive/AI system spending by use case 2019 | Statista,"
                                                                            Jun 17, 2020
                                                                    ",
•  AI deep learning frameworks ranking 2018 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Share of AI investment by industry worldwide 2016 | Statista,"
                                                                            Sep 30, 2016
                                                                    ",
•  AI spending by industry group 2020 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Global AI market size by service area 2014-2024 | Statista,"
                                                                            Mar 15, 2015
                                                                    ",
•  Healthcare AI market size worldwide 2013-2021 | Statista,"
                                                                            Apr 1, 2020
                                                                    ",
•  Global enterprise AI market growth 2017-2025 | Statista,"
                                                                            Sep 12, 2016
                                                                    ",
•  Bank divisions using AI 2017 | Statista,"
                                                                            Nov 23, 2020
                                                                    ",
•  Impact of AI on GVA by country worldwide 2016 | Statista,"
                                                                            Mar 12, 2019
                                                                    ",
•  Healthcare AI market growth worldwide 2014-2021 | Statista,"
                                                                            Apr 1, 2020
                                                                    ",
•  Impact of AI on industry real GVA worldwide 2035 | Statista,"
                                                                            Nov 8, 2018
                                                                    ",
•  Impact of AI on GVA by country worldwide 2016 | Statista,"
                                                                            Dec 4, 2018
                                                                    ",
•  Global AI market revenue by region 2015 | Statista,"
                                                                            Oct 12, 2016
                                                                    ",
•  AI patents granted by company 2000-2016 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  AI healthcare market by application worldwide 2026 | Statista,"
                                                                            Apr 1, 2020
                                                                    ",
•  AI frameworks popularity/usage 2018 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  AI deployment among retailers worldwide 2016-2018 | Statista,"
                                                                            Dec 16, 2019
                                                                    ",
•  Global AI software market growth 2019-2025 | Statista,"
                                                                            Aug 17, 2020
                                                                    ",
"    • Artificial intelligence in Italy | Statista
",,
•  AI's contribution to EEI reduction by sector 2030 | Statista,"
                                                                            Apr 19, 2021
                                                                    ",
•  Systematic hedge fund launches using AIML worldwide | Statista,"
                                                                            Jan 15, 2021
                                                                    ",
•  Startups using AI in drug discovery by area worldwide 2019 | Statista,"
                                                                            Aug 31, 2020
                                                                    ",
•  Artificial intelligence in the global fashion market value 2027 | Statista,"
                                                                            Nov 1, 2021
                                                                    ",
•  Key AI initiatives for publishers worldwide 2019 | Statista,"
                                                                            May 22, 2020
                                                                    ",
•  Japan: opinion on suitable fields for artificial intelligence 2020 | Statista,"
                                                                            Aug 20, 2021
                                                                    ",
•  Japan: leading worries regarding artificial intelligence 2020 | Statista,"
                                                                            Aug 23, 2021
                                                                    ",
•  Poland: artificial intelligence in recruitment and job search 2021 | Statista,"
                                                                            Jul 28, 2021
                                                                    ",
•  Artificial intelligence companies by country 2017 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
"    • Artificial intelligence economic impact 2018 | Statista
",,
"    • Artificial intelligence trends in the automotive industry 2018 | Statista
",,
"    • Artificial intelligence economic impact assessment 2018 | Statista
",,
"    • Perception of AI from the financial services industry in EMEA | Statista
",,
"    • Artificial intelligence report 2018 | Statista
",,
"    • Artificial intelligence innovations and legal status 2018 | Statista
",,
"    • Artificial intelligence innovations 2018 | Statista
",,
"    • AI in Logistics Report 2018 | Statista
",,
"    • Artificial intelligence impact on the labor market 2018 | Statista
",,
"    • Patient perspectives on AI in healthcare 2018 | Statista
",,
"    • Enterprise Artificial Intelligence services report 2018 | Statista
",,
"    • Global artificial intelligence development survey 2018 | Statista
",,
"    • Assesment of  the state of artificial intelligence 2018 | Statista
",,
"    • Artificial intelligence consumer trends 2018 | Statista
",,
"    • Life sciences artificial intelligence trends 2018 | Statista
",,
•  Artificial intelligence impact on labor productivity in 2035 | Statista,"
                                                                            Sep 28, 2016
                                                                    ",
"    • Artificial intelligence study 2016 | Statista
",,
•  Artificial intelligence impact on GVA growth in 2035 | Statista,"
                                                                            Sep 28, 2016
                                                                    ",
•  Number of AI-focused startup companies by category worldwide 2016 | Statista,"
                                                                            Oct 19, 2016
                                                                    ",
•  AI progress in the financial services industry EMEA 2017 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  AI patents granted universities 2000-2016 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  AI-focused startup company funding by category worldwide 2016 | Statista,"
                                                                            Oct 19, 2016
                                                                    ",
•  AI patents granted by patent/trademark office 2000-2016 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Global computer vision AI market size by segment 2015-2019 | Statista,"
                                                                            Nov 24, 2016
                                                                    ",
•  North American AI market revenue 2016-2027 | Statista,"
                                                                            May 12, 2021
                                                                    ",
Virtual assistants in France - Statistics & Facts | Statista,"Jul 13, 2021","
        A virtual assistant is a program that performs tasks or services for the end user through voice commands or questions. These software agents can understand and interpret human speech and some of them even answer via a synthesized voice.

                    "
•  THNQ Index: leading companies by weight 2021 | Statista,"
                                                                            Aug 17, 2021
                                                                    ",
•  Future emission reduction from AI by sector 2019 | Statista,"
                                                                            Apr 19, 2021
                                                                    ",
"    • Report on the development of artificial intelligence worldwide 2021 | Statista
",,
•  AI return on investment worldwide 2019 | Statista,"
                                                                            Jan 21, 2021
                                                                    ",
•  AI usage transport and logistics worldwide 2020 | Statista,"
                                                                            Aug 12, 2021
                                                                    ",
•  UiPath global revenue 2021 | Statista,"
                                                                            Aug 25, 2021
                                                                    ",
•  UiPath global revenue by segment 2021 | Statista,"
                                                                            Aug 25, 2021
                                                                    ",
•  UiPath global operating loss 2021 | Statista,"
                                                                            Aug 25, 2021
                                                                    ",
"•  Share of women in cloud computing, data and AI 2020 | Statista","
                                                                            Oct 6, 2021
                                                                    ",
•  Global AI in agriculture market by farming type 2019-2024 | Statista,"
                                                                            Oct 22, 2020
                                                                    ",
"•  5G AI, memory, and power semiconductor market 2025 | Statista","
                                                                            May 20, 2021
                                                                    ",
•  Disclosed deals healthcare AI by quarter worldwide 2020 | Statista,"
                                                                            Apr 22, 2021
                                                                    ",
•  AI's global impact on job creation and elimination 2022 | Statista,"
                                                                            Mar 25, 2019
                                                                    ",
•  AI performance by country 2018 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Global AI startups by industry 2018 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  AI startups by total funding 2018 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Biopharma AI market CAGRs by global region 2018-2025 | Statista,"
                                                                            Jan 2, 2020
                                                                    ",
•  Global biopharmaceutical AI market share by region 2018 | Statista,"
                                                                            Jan 2, 2020
                                                                    ",
•  AI investment & funding project share by category 2013-2018 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  AI market size in global biopharma industry by region 2018-2025 | Statista,"
                                                                            Jan 2, 2020
                                                                    ",
•  Retail industry AI use case distribution by operating model 2018 | Statista,"
                                                                            Dec 16, 2019
                                                                    ",
•  EU: use of Artificial Intelligence by doctors to support healthcare delivery 2020 | Statista,"
                                                                            Mar 1, 2021
                                                                    ",
•  Japan: artificial intelligence awareness by age group | Statista,"
                                                                            Sep 15, 2021
                                                                    ",
•  Japan: artificial intelligence awareness by gender | Statista,"
                                                                            Sep 15, 2021
                                                                    ",
•  Artificial intelligence automation enterprise application expectations 2017 | Statista,"
                                                                            Sep 6, 2019
                                                                    ",
"    • Artificial intelligence potential report 2017 | Statista
",,
•  Air travel worldwide: inflight artificial intelligence 2019 | Statista,"
                                                                            Aug 3, 2020
                                                                    ",
•  News publishers' use of artificial intelligence worldwide 2017 | Statista,"
                                                                            Apr 18, 2018
                                                                    ",
•  Global recruiting trends: key benefits of artificial intelligence 2017 | Statista,"
                                                                            Nov 4, 2020
                                                                    ",
"    • Artificial intelligence developments in mobility 2017 | Statista
",,
"    • Artificial intelligence in marketing 2018 | Statista
",,
"    • AI in healthcare and medical research 2018 | Statista
",,
•  Artificial intelligence automation application expectations 2017 | Statista,"
                                                                            Sep 6, 2019
                                                                    ",
•  Global retail industry AI job replacement 2017-2018 | Statista,"
                                                                            Dec 16, 2019
                                                                    ",
•  Retail industry AI use case distribution by function 2018 | Statista,"
                                                                            Dec 16, 2019
                                                                    ",
•  Global retail industry AI job creation 2017-2018 | Statista,"
                                                                            Dec 16, 2019
                                                                    ",
•  Global swarm intelligence market revenue by region 2017 | Statista,"
                                                                            Oct 19, 2021
                                                                    ",
•  Japan: associations with AI 2020 | Statista,"
                                                                            Aug 20, 2021
                                                                    ",
•  Japan: opinion of managers regarding necessity of AI by item 2020 | Statista,"
                                                                            Aug 20, 2021
                                                                    ",
•  Japan: implementation of AI at businesses 2020 | Statista,"
                                                                            Aug 20, 2021
                                                                    ",
•  Japan: awareness of AI 2020 | Statista,"
                                                                            Aug 20, 2021
                                                                    ",
•  Hungary: most funded AI companies 2021 | Statista,"
                                                                            Nov 11, 2021
                                                                    ",
•  Poland: most funded AI companies 2021 | Statista,"
                                                                            Nov 11, 2021
                                                                    ",
•  U.S.: main benefits of AI for CX 2021 | Statista,"
                                                                            Oct 25, 2021
                                                                    ",
•  U.S.: customers´ rate for AI in CX 2021 | Statista,"
                                                                            Oct 25, 2021
                                                                    ",
•  U.S.: share of CX activity managed by AI 2021 | Statista,"
                                                                            Oct 25, 2021
                                                                    ",
•  GDP gains from AI by industry sector 2030 | Statista,"
                                                                            Sep 20, 2021
                                                                    ",
•  Global AI-based systems shipments for automotive market 2015-2025 | Statista,"
                                                                            Oct 13, 2016
                                                                    ",
•  AI market share by technology silo 2015 | Statista,"
                                                                            Sep 7, 2016
                                                                    ",
•  Global AI publications by topic 2007-2017 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Types of AI-enabled cyberattacks 2021 | Statista,"
                                                                            Aug 25, 2021
                                                                    ",
•  AI usage consumer goods and retail worldwide 2020 | Statista,"
                                                                            Feb 10, 2021
                                                                    ",
•  AI usage financial services worldwide 2020 | Statista,"
                                                                            Feb 10, 2021
                                                                    ",
•  mHealth apps share with advanced and standard AI worldwide 2020 | Statista,"
                                                                            Oct 20, 2020
                                                                    ",
"    • Report on the development of artificial intelligence worldwide 2019 | Statista
",,
•  Machine learning model deployment timeline 2021 | Statista,"
                                                                            Jun 28, 2021
                                                                    ",
•  Number of data scientists employed in firms 2021 | Statista,"
                                                                            Jun 28, 2021
                                                                    ",
•  Xiaomi AI assistant users 2018-2021 | Statista,"
                                                                            Oct 26, 2021
                                                                    ",
"    • 2021 enterprise trends in machine learning | Statista
",,
•  Global AI investment & funding share 2013-2018 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Global AI enterprises by country 2018 | Statista,"
                                                                            Jun 9, 2020
                                                                    ",
•  Global AI startups by country 2018 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  AI patent applications by country worldwide 2019 | Statista,"
                                                                            Oct 19, 2021
                                                                    ",
•  AI talent by country 2018 | Statista,"
                                                                            Mar 9, 2020
                                                                    ",
•  Global AI paper publications by country 1997-2017 | Statista,"
                                                                            Mar 9, 2020
                                                                    ",
•  Global AI semiconductor market size 2025 | Statista,"
                                                                            Nov 30, 2020
                                                                    ",
•  AI patent applications of leading tech companies 2009-2017 | Statista,"
                                                                            Dec 5, 2018
                                                                    ",
•  AI patent applications by company worldwide 2019 | Statista,"
                                                                            Oct 19, 2021
                                                                    ",
•  AI patent application share by country 1997-2017 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Global AI semiconductor market share 2025 | Statista,"
                                                                            Nov 30, 2020
                                                                    ",
•  AI's business value in banking by region 2018-2030 | Statista,"
                                                                            Jun 17, 2020
                                                                    ",
•  Global AI implementation challenges in organizations 2017 | Statista,"
                                                                            Feb 26, 2019
                                                                    ",
•  AI global vendor revenue share 2018 | Statista,"
                                                                            Dec 1, 2020
                                                                    ",
•  AI enterprises share by country 2018 | Statista,"
                                                                            Mar 9, 2020
                                                                    ",
•  Top countries for AI research institutions with publications 2017 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  AI investment & funding project share by country/category 2013-2018 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Number of countries adopting AI surveillance by technology 2019 | Statista,"
                                                                            Apr 16, 2020
                                                                    ",
•  AI skill penetration by country 2018 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  AI chip revenues in data centers and edge computing 2025 | Statista,"
                                                                            Nov 25, 2020
                                                                    ",
•  AI adoption in global companies: impact on workforce 2020-2023 | Statista,"
                                                                            Dec 10, 2020
                                                                    ",
•  Top 10 countries for AI scholars with publications 2017 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  Number of AI start-ups worldwide 2000-2017 | Statista,"
                                                                            Mar 2, 2020
                                                                    ",
•  AI patent applications worldwide 2008-2018 | Statista,"
                                                                            Oct 19, 2021
                                                                    ",
